timestamp,open,high,low,close,adjusted close,volume,dividend amount
2020-07-27,120.2700,132.1700,115.2000,126.2100,126.2100,97683244,0.0000
2020-06-30,124.6400,135.8800,115.8800,120.7700,120.7700,120928981,0.0000
2020-05-29,123.1900,126.9700,111.8100,124.9000,124.9000,92864791,1.6300
2020-04-30,106.3600,129.3100,104.5210,125.5600,123.8942,130400316,0.0000
2020-03-31,130.7500,136.0950,90.5600,110.9300,109.4583,189585053,0.0000
2020-02-28,144.2500,158.7500,126.3600,130.1500,128.4233,118092333,1.6200
2020-01-31,135.0000,145.7900,133.2000,143.7300,140.3411,112864967,0.0000
2019-12-31,134.4500,136.4200,130.6890,134.0400,130.8796,71661951,0.0000
2019-11-29,134.5000,139.1350,132.7500,134.4500,131.2799,64898948,1.6200
2019-10-31,145.5900,147.3500,130.9000,133.7300,129.0585,92647927,0.0000
2019-09-30,134.8500,146.5700,133.3301,145.4200,140.3401,62083780,0.0000
2019-08-30,148.9000,152.9500,128.8300,135.5300,130.7956,96719129,1.6200
2019-07-31,139.6000,151.9400,139.1300,148.2400,141.4262,80175943,0.0000
2019-06-28,127.1000,140.1500,127.0600,137.9000,131.5615,61342985,0.0000
2019-05-31,140.5500,141.8100,126.8500,126.9900,121.1530,75537897,1.6200
2019-04-30,141.5100,145.3900,136.2600,140.2700,132.2397,80199229,0.0000
2019-03-29,139.3100,142.1200,133.5800,141.1000,133.0222,74688899,0.0000
2019-02-28,134.9700,140.4900,132.1200,138.1300,130.2222,68462024,1.5700
2019-01-31,112.0100,135.4149,111.6900,134.4200,125.2482,120388583,0.0000
2018-12-31,125.6700,126.5900,105.9400,113.6700,105.9140,115600988,0.0000
2018-11-30,115.5000,125.0600,114.5384,124.2700,115.7908,141719180,1.5700
2018-10-31,151.7100,154.3600,114.0900,115.4300,106.2025,198093801,0.0000
2018-09-28,145.9800,153.3500,144.8100,151.2100,139.1223,95868702,0.0000
2018-08-31,144.7600,147.9300,142.0000,146.4800,134.7704,79196876,1.5700
2018-07-31,138.2800,150.5400,138.2000,144.9300,131.9137,95015127,0.0000
2018-06-29,142.4300,147.5200,137.4500,139.7000,127.1534,90243111,0.0000
2018-05-31,144.6500,146.2040,139.9000,141.3100,128.6188,88812832,1.5700
2018-04-30,153.3400,162.0000,144.1110,144.9600,130.5043,122893135,0.0000
2018-03-29,155.5300,162.1122,148.5410,153.4300,138.1297,92113147,0.0000
2018-02-28,163.1900,164.1300,144.3955,155.8300,140.2903,100673819,1.5000
2018-01-31,154.5000,171.1300,153.5400,163.7000,145.8928,140197975,0.0000
2017-12-29,154.4000,157.8500,151.4900,153.4200,136.7310,87525752,0.0000
2017-11-30,154.1000,154.9000,146.2110,153.9700,137.2212,89212953,1.5000
2017-10-31,145.3500,162.5100,145.2100,154.0600,135.9447,121490046,0.0000
2017-09-29,142.9800,147.4200,141.6400,145.0800,128.0206,77056229,0.0000
2017-08-31,145.0000,145.3900,139.1300,143.0300,126.2116,79260314,1.5000
2017-07-31,153.5800,156.0250,143.6400,144.6700,126.3254,91242021,0.0000
2017-06-30,152.8000,157.2000,150.8000,153.8300,134.3239,82652760,0.0000
2017-05-31,160.0500,160.4200,149.7900,152.6300,133.2761,102455942,1.5000
2017-04-28,173.8200,176.3300,159.6000,160.2900,138.6061,80758989,0.0000
2017-03-31,180.4800,182.5500,172.0937,174.1400,150.5825,79476385,0.0000
2017-02-28,175.0000,182.7900,172.8900,179.8200,155.4941,59817600,1.4000
