timestamp,open,high,low,close,volume
2020-07-29,124.5600,125.9900,124.0700,125.3200,2678179
2020-07-28,125.8200,126.3400,124.1500,124.4700,4178176
2020-07-27,124.8600,126.3200,124.7100,126.2100,3733547
2020-07-24,126.4800,127.6459,125.5000,125.7900,3531076
2020-07-23,129.1000,129.3700,127.1500,127.3300,4220136
2020-07-22,125.9000,129.4700,125.8000,128.6700,8195366
2020-07-21,131.1600,132.1700,125.8000,126.0600,15356679
2020-07-20,126.0700,127.0700,125.1400,126.3700,9737157
2020-07-17,124.3900,125.6300,123.2000,125.1100,3984000
2020-07-16,122.6800,124.4800,122.1600,124.0100,4328900
2020-07-15,122.4000,123.9600,122.1500,123.0000,4470100
2020-07-14,118.6200,120.8900,117.9200,120.6000,4531400
2020-07-13,119.7800,120.9900,118.6600,119.2000,4644600
2020-07-10,115.5000,118.5700,115.2900,118.3500,4285100
2020-07-09,118.0000,118.0000,115.2000,115.7100,4760900
2020-07-08,118.0600,118.6400,116.4800,117.7100,5191800
2020-07-07,119.0000,119.5100,117.3300,117.5800,4278100
2020-07-06,121.2500,121.8500,119.4600,120.1900,4044200
2020-07-02,119.6900,121.4200,119.2600,119.7000,3745700
2020-07-01,120.2700,121.2300,118.3700,118.5400,4657200
2020-06-30,119.1900,121.2000,119.0000,120.7700,3916400
2020-06-29,117.9800,119.7800,117.3700,119.7500,4157200
2020-06-26,118.2600,118.9900,116.2600,117.1900,10749166
2020-06-25,116.7600,119.2100,116.1000,119.0300,6128720
2020-06-24,118.3200,118.3200,115.8800,116.4200,6747421
2020-06-23,122.0100,122.9000,119.2300,119.4100,6628278
2020-06-22,122.1200,122.5000,120.5300,121.0700,4762601
2020-06-19,126.1700,126.8200,122.2500,122.4700,8098994
2020-06-18,123.0000,124.4000,122.3300,124.1600,2860286
2020-06-17,125.8300,126.2500,123.4000,124.1500,3153862
2020-06-16,125.0000,127.5000,123.1600,125.1500,5605791
2020-06-15,119.1900,122.3670,118.2900,121.6500,5148756
2020-06-12,121.2500,123.1200,119.2800,121.9100,6218003
2020-06-11,126.0300,126.1000,117.8352,118.0100,11753674
2020-06-10,132.1500,132.2300,129.8000,129.8700,4725055
2020-06-09,133.5200,133.6000,131.0200,131.8700,5391520
2020-06-08,132.2700,135.8800,132.2700,135.7500,5368387
2020-06-05,133.8850,134.2300,131.7500,132.0600,5892718
2020-06-04,127.7800,128.9500,127.0200,128.8900,3864131
2020-06-03,127.1500,129.5950,127.0000,129.0500,3913804
2020-06-02,125.6700,126.0000,124.6600,126.0000,2976908
2020-06-01,124.6400,125.7500,124.0300,124.8900,2867306
2020-05-29,123.6700,125.1300,122.2400,124.9000,7929905
2020-05-28,126.8700,126.9700,124.2200,124.5300,3915224
2020-05-27,123.9400,125.8300,123.4700,125.5400,5725163
2020-05-26,121.3000,122.6200,121.0101,121.7600,5467436
2020-05-22,119.3700,119.4650,117.5900,118.3900,4179906
2020-05-21,120.9900,121.7200,118.9700,119.1200,4018329
2020-05-20,120.9300,122.4659,120.6000,121.3800,3840563
2020-05-19,121.1900,122.1700,120.1400,120.2900,3239964
2020-05-18,119.8800,122.3600,119.7500,121.5600,4205425
2020-05-15,115.9300,117.3900,115.2500,116.9800,4785773
2020-05-14,114.5700,117.0900,111.8100,116.9500,5255607
2020-05-13,119.9500,119.9900,114.8500,115.7300,5874676
2020-05-12,123.0100,124.3200,120.2600,120.2600,4779635
2020-05-11,121.8100,123.4500,120.6700,122.5900,3533382
2020-05-08,122.6700,123.2300,121.0600,122.9900,5002450
2020-05-07,122.9800,123.2600,120.8500,121.2300,4412047
2020-05-06,123.2400,124.0500,122.4100,123.1700,3861081
2020-05-05,123.3900,124.3200,122.4700,122.5800,3897761
2020-05-04,120.8200,121.9700,119.3910,121.6800,4016551
2020-05-01,123.1900,123.4700,121.3900,121.8700,4923913
2020-04-30,126.5200,127.2700,125.2200,125.5600,6630032
2020-04-29,128.8800,129.3100,127.5300,128.6900,5252734
2020-04-28,128.0300,128.2000,125.3800,126.2700,4775867
2020-04-27,125.5600,126.9900,125.4700,125.9200,4920443
2020-04-24,122.4100,125.0000,120.7634,124.7200,4985575
2020-04-23,119.5700,123.0300,119.1200,121.3500,6873899
2020-04-22,119.8700,120.3300,117.5500,119.3100,7085901
2020-04-21,114.0000,117.1450,112.0600,116.7600,14341304
2020-04-20,119.1500,122.8635,118.1400,120.4100,7965530
2020-04-17,119.3000,120.3900,117.9200,120.1200,4964018
2020-04-16,119.0100,119.7500,114.4200,115.7300,6438128
2020-04-15,119.1200,120.1852,116.7600,118.6900,5632156
2020-04-14,123.4600,125.1800,122.6200,123.9100,5087292
2020-04-13,121.6300,121.8000,118.0400,121.1500,5118777
2020-04-09,120.4800,122.9200,120.1672,121.5000,5576210
2020-04-08,116.3100,119.9600,115.0742,119.2900,5155987
