Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
UAL,32.67,Call,50.00,09/18/20,70,1.64,1.7,1.76,1.67,5274,9886,0.53,102.81%,07/10/20
CAR,28.04,Call,34.00,08/21/20,42,1.70,1.85,2.00,1.95,1001,1106,0.91,102.62%,07/10/20
SAVE,17.53,Call,17.50,01/15/21,189,4.90,5,5.10,5.10,780,1542,0.51,102.55%,07/10/20
AAL,11.94,Call,20.00,01/15/21,189,1.58,1.61,1.64,1.59,8970,76949,0.12,102.54%,07/10/20
UAL,32.67,Call,40.00,09/18/20,70,3.15,3.33,3.50,3.44,3539,4857,0.73,102.41%,07/10/20
NAT,4.4,Put,4.00,01/15/21,189,0.84,0.95,1.05,1.00,559,741,0.75,102.34%,07/10/20
CLF,5.74,Call,5.00,08/21/20,42,1.15,1.17,1.18,1.17,1814,1990,0.91,102.11%,07/10/20
ERI,40.15,Put,40.00,08/21/20,42,4.85,5.28,5.70,5.40,1100,3111,0.35,102.09%,07/10/20
MFA,2.48,Call,3.00,10/16/20,98,0.30,0.32,0.35,0.35,530,5157,0.1,102.08%,07/10/20
CAR,28.04,Put,35.00,11/20/20,133,10.90,11.7,12.50,11.45,500,1642,0.3,102.05%,07/10/20
CCL,16.16,Call,16.00,07/31/20,21,1.58,1.66,1.73,1.65,539,396,1.36,101.83%,07/10/20
HTGC,10.15,Put,5.00,10/16/20,98,0.05,0.1,0.15,0.15,1401,1419,0.99,101.79%,07/10/20
SAVE,17.53,Call,27.50,12/18/20,161,2.10,2.5,2.90,2.20,1402,270,5.19,101.77%,07/10/20
UAL,32.67,Call,45.00,09/18/20,70,2.27,2.39,2.50,2.35,2023,3959,0.51,101.71%,07/10/20
TSLA,1544.65,Put,1500.00,08/21/20,42,180.40,184.98,189.55,185.40,1192,1465,0.81,101.56%,07/10/20
TSLA,1544.65,Put,1460.00,08/21/20,42,160.30,164.75,169.20,164.40,1088,1430,0.76,101.39%,07/10/20
NKLA,54.24,Call,80.00,08/21/20,42,1.45,1.65,1.85,1.46,618,5909,0.1,101.34%,07/10/20
